categoria;unidade;tipo_despesa;descricao_item;obrigatorio
alimentacao;unid.;finalística;Almoço para participantes;true
alimentacao;unid.;finalística;Lanche;true
assistencia;hora;finalística;Mentor;false
curso_outros;unid.;finalística;Apostila;false
curso_outros;hora;finalística;Assessoria especializada;false
curso_outros;unid.;finalística;Camiseta;false
curso_outros;unid.;finalística;Certificado;true
curso_outros;hora;finalística;Instrutor;false
curso_outros;hora;finalística;Mentor;false
curso_outros;hora;finalística;Monitor;false
curso_outros;hora;finalística;Palestrante;false
curso_outros;unid.;finalística;Uniforme;false
epi;unid.;finalística;Álcool em gel 70%;false
epi;unid.;finalística;Álcool líquido 70%;false
epi;unid.;finalística;Apito;false
epi;unid.;finalística;Avental;false
epi;unid.;finalística;Bota;false
epi;unid.;finalística;Calça;false
epi;unid.;finalística;Camisa;false
epi;unid.;finalística;Caneleira;false
epi;unid.;finalística;Capacete;false
epi;unid.;finalística;Chuteira;false
epi;unid.;finalística;Cinturão de segurança;false
epi;unid.;finalística;Colete de identificação;false
epi;unid.;finalística;Coletor para perfurocortantes;false
epi;unid.;finalística;Cone de sinalização;false
epi;unid.;finalística;Crachá;false
epi;unid.;finalística;Detergente neutro;false
epi;unid.;finalística;Extintor de incêndio;false
epi;unid.;finalística;Fita de sinalização;false
epi;unid.;finalística;Garrafa ou copo reutilizável;false
epi;unid.;finalística;Jaleco;false
epi;unid.;finalística;Joelheira;false
epi;unid.;finalística;Kit;false
epi;unid.;finalística;Lanterna;false
epi;unid.;finalística;Luva;false
epi;unid.;finalística;Manga isolante;false
epi;unid.;finalística;Mangote para soldagem;false
epi;unid.;finalística;Máscara;false
epi;unid.;finalística;Mochila;false
epi;unid.;finalística;Óculos de proteção;false
epi;unid.;finalística;Pano de limpeza;false
epi;unid.;finalística;Papel-toalha;false
epi;unid.;finalística;Perneira de proteção;false
epi;unid.;finalística;Perneira para soldagem;false
epi;unid.;finalística;Propé descartável;false
epi;unid.;finalística;Protetor auricular;false
epi;unid.;finalística;Protetor bucal;false
epi;unid.;finalística;Protetor de nuca;false
epi;unid.;finalística;Protetor escrotal;false
epi;unid.;finalística;Protetor facial contra arco elétrico;false
epi;unid.;finalística;Protetor solar;false
epi;unid.;finalística;Respirador PFF2;false
epi;unid.;finalística;Respirador semifacial;false
epi;unid.;finalística;Sabonete líquido;false
epi;unid.;finalística;Saco de lixo hospitalar infectante;false
epi;unid.;finalística;Tábua de corte;false
epi;unid.;finalística;Talabarte de segurança;false
epi;unid.;finalística;Termômetro culinário;false
epi;unid.;finalística;Toalha descartável;false
epi;unid.;finalística;Touca;false
epi;unid.;finalística;Trava-quedas;false
epi;unid.;finalística;Vestimenta de proteção;false
event;unid.;finalística;Alimentação;false
event;unid.;finalística;Contratação;false
event;unid.;finalística;Equipamento para evento;false
event;unid.;finalística;Equipe de apoio operacional e cerimonial;false
event;unid.;finalística;Estrutura de palco e decoração;false
event;unid.;finalística;Evento;false
event;unid.;finalística;Locação;false
event;unid.;finalística;Material gráfico (banners, faixas, credenciais e sinalização);false
event;unid.;finalística;Serviço;false
insumo_gerais;unid.;finalística;Abraçadeira;false
insumo_gerais;unid.;finalística;Abridor de latas;false
insumo_gerais;unid.;finalística;Acetona;false
insumo_gerais;unid.;finalística;Adaptador;false
insumo_gerais;unid.;finalística;Adubo;false
insumo_gerais;unid.;finalística;Água mineral;false
insumo_gerais;unid.;finalística;Água sanitária;false
insumo_gerais;unid.;finalística;Agulha;false
insumo_gerais;unid.;finalística;Álcool;false
insumo_gerais;unid.;finalística;Algodão;false
insumo_gerais;unid.;finalística;Alicate;false
insumo_gerais;unid.;finalística;Alimento;false
insumo_gerais;unid.;finalística;Almofada;false
insumo_gerais;unid.;finalística;Amolecedor de cutícula;false
insumo_gerais;unid.;finalística;Anilina;false
insumo_gerais;unid.;finalística;Aparelho de pressão;false
insumo_gerais;unid.;finalística;Aquecedor de cera;false
insumo_gerais;unid.;finalística;Arco de serra;false
insumo_gerais;unid.;finalística;Ar-condicionado;false
insumo_gerais;unid.;finalística;Área de prática;false
insumo_gerais;unid.;finalística;Areia;false
insumo_gerais;unid.;finalística;Argamassa;false
insumo_gerais;unid.;finalística;Argila;false
insumo_gerais;unid.;finalística;Argola para chaveiro;false
insumo_gerais;unid.;finalística;Armário;false
insumo_gerais;unid.;finalística;Arroz;false
insumo_gerais;unid.;finalística;Arruela lisa;false
insumo_gerais;unid.;finalística;Assadeira;false
insumo_gerais;unid.;finalística;Avental;false
insumo_gerais;unid.;finalística;Bacia;false
insumo_gerais;unid.;finalística;Balança;false
insumo_gerais;unid.;finalística;Balde;false
insumo_gerais;unid.;finalística;Bancada;false
insumo_gerais;unid.;finalística;Bandeja;false
insumo_gerais;unid.;finalística;Banner;false
insumo_gerais;unid.;finalística;Barbante/linha;false
insumo_gerais;unid.;finalística;Barra chata;false
insumo_gerais;unid.;finalística;Barramento;false
insumo_gerais;unid.;finalística;Base de unha;false
insumo_gerais;unid.;finalística;Bastão de cola quente;false
insumo_gerais;unid.;finalística;Batedeira;false
insumo_gerais;unid.;finalística;Bateria;false
insumo_gerais;unid.;finalística;Bilro;false
insumo_gerais;unid.;finalística;Bloco autoadesivo;false
insumo_gerais;unid.;finalística;Bloco cerâmico;false
insumo_gerais;unid.;finalística;Bloco de anotação;false
insumo_gerais;unid.;finalística;Bloco de construção;false
insumo_gerais;unid.;finalística;Bloco de montar educativo;false
insumo_gerais;unid.;finalística;Bola de futebol;false
insumo_gerais;unid.;finalística;Bolsa;false
insumo_gerais;unid.;finalística;Bomba de vácuo;false
insumo_gerais;unid.;finalística;Borne;false
insumo_gerais;unid.;finalística;Borrifador;false
insumo_gerais;unid.;finalística;Botão de comando;false
insumo_gerais;unid.;finalística;Botão elêtronico;false
insumo_gerais;unid.;finalística;Botijão de gás;false
insumo_gerais;unid.;finalística;Breu para violino;false
insumo_gerais;unid.;finalística;Brita;false
insumo_gerais;unid.;finalística;Broca;false
insumo_gerais;unid.;finalística;Bucha de fixação;false
insumo_gerais;unid.;finalística;Bússola;false
insumo_gerais;unid.;finalística;Cabo/Fio;false
insumo_gerais;unid.;finalística;Cadeira;false
insumo_gerais;unid.;finalística;Caixa de ferramentas;false
insumo_gerais;unid.;finalística;Caixa elétrica;false
insumo_gerais;unid.;finalística;Caixa para transporte;false
insumo_gerais;unid.;finalística;Cal;false
insumo_gerais;unid.;finalística;Calculadora;false
insumo_gerais;unid.;finalística;Campainha;false
insumo_gerais;unid.;finalística;Canaleta;false
insumo_gerais;unid.;finalística;Caneta;false
insumo_gerais;unid.;finalística;Cano;false
insumo_gerais;unid.;finalística;Carrinho de mão;false
insumo_gerais;unid.;finalística;Cartão de memória;false
insumo_gerais;unid.;finalística;Cartaz;false
insumo_gerais;unid.;finalística;Cartolina;false
insumo_gerais;unid.;finalística;Cavadeira articulada;false
insumo_gerais;unid.;finalística;Cera;false
insumo_gerais;unid.;finalística;Cesto;false
insumo_gerais;unid.;finalística;Chaira;false
insumo_gerais;unid.;finalística;Chaleira;false
insumo_gerais;unid.;finalística;Chapa de compensado;false
insumo_gerais;unid.;finalística;Chave boia;false
insumo_gerais;unid.;finalística;Chave de fenda;false
insumo_gerais;unid.;finalística;Cimento;false
insumo_gerais;unid.;finalística;Cinturão de segurança;false
insumo_gerais;unid.;finalística;Cobertor;false
insumo_gerais;unid.;finalística;Coffee break;false
insumo_gerais;unid.;finalística;Cola;false
insumo_gerais;unid.;finalística;Coletor para perfurocortantes;false
insumo_gerais;unid.;finalística;Colher;false
insumo_gerais;unid.;finalística;Colher de pedreiro;false
insumo_gerais;unid.;finalística;Colher medidora;false
insumo_gerais;unid.;finalística;Colheres grandes;false
insumo_gerais;unid.;finalística;Conduíte;false
insumo_gerais;unid.;finalística;Condulete;false
insumo_gerais;unid.;finalística;Conector;false
insumo_gerais;unid.;finalística;Conector em barra;false
insumo_gerais;unid.;finalística;Conservante;false
insumo_gerais;unid.;finalística;Contator;false
insumo_gerais;unid.;finalística;Copo;false
insumo_gerais;unid.;finalística;Corante;false
insumo_gerais;unid.;finalística;Corda para instrumento;false
insumo_gerais;unid.;finalística;Cordão;false
insumo_gerais;unid.;finalística;Cortador de piso;false
insumo_gerais;unid.;finalística;Cosmético;false
insumo_gerais;unid.;finalística;Credencial;false
insumo_gerais;unid.;finalística;Cronômetro;false
insumo_gerais;unid.;finalística;Curva;false
insumo_gerais;unid.;finalística;Dermógrafo;false
insumo_gerais;unid.;finalística;Descarte perfurocortante;false
insumo_gerais;unid.;finalística;Descascador;false
insumo_gerais;unid.;finalística;Desempenadeira;false
insumo_gerais;unid.;finalística;Desinfetante;false
insumo_gerais;unid.;finalística;Detector de tensão por aproximação;false
insumo_gerais;unid.;finalística;Detergente;false
insumo_gerais;unid.;finalística;Disjuntor;false
insumo_gerais;unid.;finalística;Eletrodo;false
insumo_gerais;unid.;finalística;Eletrodutos;false
insumo_gerais;unid.;finalística;Embalagem;false
insumo_gerais;unid.;finalística;Enxada;false
insumo_gerais;unid.;finalística;Escorredor;false
insumo_gerais;unid.;finalística;Escova de limpeza;false
insumo_gerais;unid.;finalística;Escumadeira;false
insumo_gerais;unid.;finalística;Esfigmomanômetro;false
insumo_gerais;unid.;finalística;Esfoliante;false
insumo_gerais;unid.;finalística;Esmalte;false
insumo_gerais;unid.;finalística;Espaçador de piso;false
insumo_gerais;unid.;finalística;Espátula;false
insumo_gerais;unid.;finalística;Esponja;false
insumo_gerais;unid.;finalística;Esquadro;false
insumo_gerais;unid.;finalística;Estadiômetro;false
insumo_gerais;unid.;finalística;Estanho em pasta;false
insumo_gerais;unid.;finalística;Estante;false
insumo_gerais;unid.;finalística;Esterco curtido;false
insumo_gerais;unid.;finalística;Estetoscópio;false
insumo_gerais;unid.;finalística;Estilete;false
insumo_gerais;unid.;finalística;Etiqueta;false
insumo_gerais;unid.;finalística;Extra brilho;false
insumo_gerais;unid.;finalística;Faca de cozinha;false
insumo_gerais;unid.;finalística;Facão;false
insumo_gerais;unid.;finalística;Feijão;false
insumo_gerais;unid.;finalística;Ferro de soldar;false
insumo_gerais;unid.;finalística;Fibra siliconada;false
insumo_gerais;unid.;finalística;Fita;false
insumo_gerais;unid.;finalística;Fita adesiva;false
insumo_gerais;unid.;finalística;Fita dupla face;false
insumo_gerais;unid.;finalística;Fita isolante;false
insumo_gerais;unid.;finalística;Flanela;false
insumo_gerais;unid.;finalística;Fluxo de solda;false
insumo_gerais;unid.;finalística;Fogão/cooktop;false
insumo_gerais;unid.;finalística;Folha impressa;false
insumo_gerais;unid.;finalística;Fonte de alimentação;false
insumo_gerais;unid.;finalística;Forma para alimentos;false
insumo_gerais;unid.;finalística;Fotocélula;false
insumo_gerais;unid.;finalística;Fouet;false
insumo_gerais;unid.;finalística;Four-way;false
insumo_gerais;unid.;finalística;Fralda descartavél;false
insumo_gerais;unid.;finalística;Frasco conta-gotas;false
insumo_gerais;unid.;finalística;Produto químico;false
insumo_gerais;unid.;finalística;Frigideira;false
insumo_gerais;unid.;finalística;Frutas variadas;false
insumo_gerais;unid.;finalística;Funil;false
insumo_gerais;unid.;finalística;Furadeira;false
insumo_gerais;unid.;finalística;Garrafa;false
insumo_gerais;unid.;finalística;Gás refrigerante;false
insumo_gerais;unid.;finalística;Glicosímetro;false
insumo_gerais;unid.;finalística;Glitter;false
insumo_gerais;unid.;finalística;Grade;false
insumo_gerais;unid.;finalística;Grampeador;false
insumo_gerais;unid.;finalística;Grampo;false
insumo_gerais;unid.;finalística;Impressora;false
insumo_gerais;hora;finalística;Instrutor;false
insumo_gerais;unid.;finalística;Insumo alimentício perecível;false
insumo_gerais;unid.;finalística;Interfone residencial;false
insumo_gerais;unid.;finalística;Interruptor;false
